daily_order,weekly_order,daily_scale,weekly_scale,1d_rmse,1d_mape,3d_rmse,3d_mape,regressor_scale
2.0,2.0,10.0,10.0,1951.52407759209,0.13846687054215376,1872.3011898289526,0.13245231157622536,10.0
2.0,2.0,10.0,10.0,1951.569809915163,0.13847641416217227,1872.3474066594504,0.13245195492129688,30.0
2.0,3.0,10.0,10.0,1948.656636357539,0.13827931117209002,1869.1011628276594,0.13209408008544826,10.0
2.0,3.0,10.0,10.0,1948.205200464956,0.13825489134421617,1868.9607616367982,0.13208436214297103,30.0
3.0,2.0,10.0,10.0,1945.968976644138,0.138156438050547,1866.777865721747,0.13205823303950842,10.0
3.0,2.0,10.0,10.0,1945.7877797054512,0.13822176434853328,1866.4588719642627,0.13210377347476834,30.0
3.0,3.0,10.0,10.0,1944.3096732919983,0.13805262642898303,1864.3558508812962,0.13176655691927305,10.0
3.0,3.0,10.0,10.0,1945.3646605002627,0.13813357017230657,1865.3674483903562,0.13186319760100404,30.0
2.0,2.0,10.0,20.0,1950.966431963383,0.13847660054277616,1871.8600773444339,0.13243912106385985,10.0
2.0,2.0,10.0,20.0,1950.428258951422,0.13838067110481359,1871.4556655620515,0.1323665653508037,30.0
2.0,3.0,10.0,20.0,1949.1055061593702,0.13832078266707518,1869.677724230238,0.13214728904645184,10.0
2.0,3.0,10.0,20.0,1949.2359053893294,0.13829800286373145,1869.6957726854375,0.13211468989042946,30.0
3.0,2.0,10.0,20.0,1946.9678362444643,0.13834526059454175,1867.3081412879162,0.13219712558502764,10.0
3.0,2.0,10.0,20.0,1946.591933095375,0.13827968770403426,1867.3998035335576,0.1321472355615103,30.0
3.0,3.0,10.0,20.0,1943.6244559681213,0.13803362964058588,1864.2290284664157,0.13178495798859868,10.0
3.0,3.0,10.0,20.0,1944.6636570953929,0.13811029459120314,1865.147197026858,0.13186477887673403,30.0
2.0,2.0,20.0,10.0,1950.803121259436,0.13843884669064788,1871.7697709612528,0.13238413162272938,10.0
2.0,2.0,20.0,10.0,1950.4314776760416,0.1383784212392744,1871.9076433262621,0.13241995425676045,30.0
2.0,3.0,20.0,10.0,1948.9008343454686,0.13828165153937713,1869.7079834103083,0.13214328042867887,10.0
2.0,3.0,20.0,10.0,1947.4995310039803,0.1381740116424284,1868.3477692239817,0.13202439238353095,30.0
3.0,2.0,20.0,10.0,1947.6920229562274,0.13831779906221456,1867.799522904266,0.1321697215033482,10.0
3.0,2.0,20.0,10.0,1947.047204992007,0.13830658452276534,1867.9753727975328,0.13220697363474487,30.0
3.0,3.0,20.0,10.0,1944.136070569551,0.1381186229746066,1864.4944361477374,0.13185359855005033,10.0
3.0,3.0,20.0,10.0,1943.713386684297,0.13804809551683841,1864.3895626099597,0.13183136958715344,30.0
2.0,2.0,20.0,20.0,1950.4878509691255,0.13840555542562544,1871.1523449892984,0.13239019191831342,10.0
